start,end,kiro1,kiro2,kiro3,line
蘇我,大網,19.1,19.1,19.1,外房
大網,安房鴨川,70.4,70.4,70.4,外房
大網,成東,13.8,13.8,15.2,東金
蘇我,安房鴨川,119.4,119.4,119.4,内房
大宮,南浦和,7.8,7.8,7.8,東北
大宮,武蔵浦和,7.4,7.4,7.4,東北３
武蔵浦和,赤羽,10.6,10.6,10.6,東北３
南浦和,赤羽,9.3,9.3,9.3,東北
赤羽,日暮里,7.6,7.4,7.4,東北２
赤羽,田端,6.1,6.1,6.1,東北
